zone,inclination,orientation,irradiance
1,0,0,828
1,0,5,828
1,0,10,828
1,0,15,828
1,0,20,828
1,0,25,828
1,0,30,828
1,0,35,828
1,0,40,828
1,0,45,828
1,0,50,828
1,0,55,828
1,0,60,828
1,0,65,828
1,0,70,828
1,0,75,828
1,0,80,828
1,0,85,828
1,0,90,828
1,0,95,828
1,0,100,828
1,0,105,828
1,0,110,828
1,0,115,828
1,0,120,828
1,0,125,828
1,0,130,828
1,0,135,828
1,0,140,828
1,0,145,828
1,0,150,828
1,0,155,828
1,0,160,828
1,0,165,828
1,0,170,828
1,0,175,828
1,1,0,835
1,1,5,835
1,1,10,835
1,1,15,835
1,1,20,835
1,1,25,835
1,1,30,834
1,1,35,834
1,1,40,833
1,1,45,833
1,1,50,833
1,1,55,832
1,1,60,831
1,1,65,831
1,1,70,830
1,1,75,830
1,1,80,829
1,1,85,828
1,1,90,828
1,1,95,827
1,1,100,826
1,1,105,826
1,1,110,825
1,1,115,824
1,1,120,824
1,1,125,823
1,1,130,823
1,1,135,822
1,1,140,822
1,1,145,821
1,1,150,821
1,1,155,821
1,1,160,820
1,1,165,820
1,1,170,820
1,1,175,820
1,2,0,843
1,2,5,843
1,2,10,843
1,2,15,842
1,2,20,842
1,2,25,841
1,2,30,841
1,2,35,840
1,2,40,839
1,2,45,838
1,2,50,837
1,2,55,836
1,2,60,835
1,2,65,834
1,2,70,833
1,2,75,831
1,2,80,830
1,2,85,829
1,2,90,827
1,2,95,826
1,2,100,825
1,2,105,823
1,2,110,822
1,2,115,821
1,2,120,820
1,2,125,819
1,2,130,818
1,2,135,817
1,2,140,816
1,2,145,815
1,2,150,814
1,2,155,813
1,2,160,813
1,2,165,813
1,2,170,812
1,2,175,812
1,3,0,850
1,3,5,850
1,3,10,850
1,3,15,849
1,3,20,849
1,3,25,848
1,3,30,847
1,3,35,846
1,3,40,845
1,3,45,843
1,3,50,842
1,3,55,840
1,3,60,839
1,3,65,837
1,3,70,835
1,3,75,833
1,3,80,831
1,3,85,829
1,3,90,827
1,3,95,825
1,3,100,823
1,3,105,821
1,3,110,819
1,3,115,817
1,3,120,816
1,3,125,814
1,3,130,812
1,3,135,811
1,3,140,809
1,3,145,808
1,3,150,807
1,3,155,806
1,3,160,805
1,3,165,805
1,3,170,804
1,3,175,804
1,4,0,857
1,4,5,857
1,4,10,857
1,4,15,856
1,4,20,855
1,4,25,854
1,4,30,853
1,4,35,852
1,4,40,850
1,4,45,848
1,4,50,846
1,4,55,844
1,4,60,842
1,4,65,840
1,4,70,837
1,4,75,835
1,4,80,832
1,4,85,830
1,4,90,827
1,4,95,824
1,4,100,821
1,4,105,819
1,4,110,816
1,4,115,814
1,4,120,811
1,4,125,809
1,4,130,807
1,4,135,805
1,4,140,803
1,4,145,801
1,4,150,800
1,4,155,799
1,4,160,798
1,4,165,797
1,4,170,796
1,4,175,796
1,5,0,864
1,5,5,864
1,5,10,864
1,5,15,863
1,5,20,862
1,5,25,861
1,5,30,859
1,5,35,857
1,5,40,855
1,5,45,853
1,5,50,851
1,5,55,848
1,5,60,845
1,5,65,843
1,5,70,839
1,5,75,836
1,5,80,833
1,5,85,830
1,5,90,826
1,5,95,823
1,5,100,820
1,5,105,816
1,5,110,813
1,5,115,810
1,5,120,807
1,5,125,804
1,5,130,802
1,5,135,799
1,5,140,797
1,5,145,795
1,5,150,793
1,5,155,791
1,5,160,790
1,5,165,789
1,5,170,788
1,5,175,788
1,6,0,871
1,6,5,871
1,6,10,870
1,6,15,869
1,6,20,868
1,6,25,867
1,6,30,865
1,6,35,863
1,6,40,861
1,6,45,858
1,6,50,855
1,6,55,852
1,6,60,849
1,6,65,845
1,6,70,841
1,6,75,838
1,6,80,834
1,6,85,830
1,6,90,826
1,6,95,822
1,6,100,818
1,6,105,814
1,6,110,810
1,6,115,806
1,6,120,803
1,6,125,799
1,6,130,796
1,6,135,793
1,6,140,790
1,6,145,788
1,6,150,786
1,6,155,784
1,6,160,782
1,6,165,781
1,6,170,780
1,6,175,779
1,7,0,878
1,7,5,877
1,7,10,877
1,7,15,876
1,7,20,874
1,7,25,873
1,7,30,871
1,7,35,868
1,7,40,866
1,7,45,862
1,7,50,859
1,7,55,856
1,7,60,852
1,7,65,848
1,7,70,843
1,7,75,839
1,7,80,835
1,7,85,830
1,7,90,825
1,7,95,821
1,7,100,816
1,7,105,811
1,7,110,807
1,7,115,803
1,7,120,798
1,7,125,794
1,7,130,791
1,7,135,787
1,7,140,784
1,7,145,781
1,7,150,778
1,7,155,776
1,7,160,774
1,7,165,773
1,7,170,772
1,7,175,771
1,8,0,884
1,8,5,884
1,8,10,883
1,8,15,882
1,8,20,881
1,8,25,879
1,8,30,876
1,8,35,873
1,8,40,870
1,8,45,867
1,8,50,863
1,8,55,859
1,8,60,855
1,8,65,850
1,8,70,845
1,8,75,840
1,8,80,835
1,8,85,830
1,8,90,825
1,8,95,819
1,8,100,814
1,8,105,809
1,8,110,804
1,8,115,799
1,8,120,794
1,8,125,789
1,8,130,785
1,8,135,781
1,8,140,777
1,8,145,774
1,8,150,771
1,8,155,768
1,8,160,766
1,8,165,764
1,8,170,763
1,8,175,762
1,9,0,890
1,9,5,890
1,9,10,889
1,9,15,888
1,9,20,886
1,9,25,884
1,9,30,882
1,9,35,878
1,9,40,875
1,9,45,871
1,9,50,867
1,9,55,862
1,9,60,857
1,9,65,852
1,9,70,847
1,9,75,841
1,9,80,836
1,9,85,830
1,9,90,824
1,9,95,818
1,9,100,812
1,9,105,806
1,9,110,800
1,9,115,795
1,9,120,789
1,9,125,784
1,9,130,779
1,9,135,775
1,9,140,770
1,9,145,767
1,9,150,763
1,9,155,760
1,9,160,758
1,9,165,756
1,9,170,755
1,9,175,754
1,10,0,896
1,10,5,896
1,10,10,895
1,10,15,894
1,10,20,892
1,10,25,890
1,10,30,887
1,10,35,883
1,10,40,880
1,10,45,875
1,10,50,871
1,10,55,866
1,10,60,860
1,10,65,855
1,10,70,849
1,10,75,842
1,10,80,836
1,10,85,830
1,10,90,823
1,10,95,817
1,10,100,810
1,10,105,803
